,user,favorite_count,retweet_count
321,4196983835,16611,3868
322,4196983835,0,247
323,4196983835,22439,3610
324,4196983835,16127,2334
325,4196983835,21967,5463
326,4196983835,14443,2498
327,4196983835,0,44
328,4196983835,18287,4084
329,4196983835,12913,3331
330,4196983835,3171,586
331,4196983835,17253,3180
332,4196983835,13013,2515
333,4196983835,18653,3615
334,4196983835,12284,2646
335,4196983835,0,6991
336,4196983835,0,10589
337,4196983835,72,3
338,4196983835,0,11005
339,4196983835,13775,4700
340,4196983835,26154,6961
341,4196983835,367,38
342,4196983835,30114,7381
343,4196983835,11383,2043
344,4196983835,7833,2209
345,4196983835,9808,2606
346,4196983835,9970,1727
347,4196983835,7054,1256
348,4196983835,12730,2758
349,4196983835,12968,2332
350,4196983835,8673,1720
351,4196983835,72887,19101
352,4196983835,0,6484
353,4196983835,10718,3425
354,4196983835,0,5703
355,4196983835,13353,2222
356,4196983835,34617,12078
357,4196983835,11444,2305
358,4196983835,37792,10593
359,4196983835,26745,8438
360,4196983835,57797,18441
361,4196983835,0,3857
362,4196983835,27889,6681
363,4196983835,39945,12748
364,4196983835,10393,1529
365,4196983835,6853,1293
366,4196983835,8347,1460
367,4196983835,13771,2522
368,4196983835,8056,1203
369,4196983835,13662,3311
370,4196983835,2392,194
371,4196983835,12842,3228
372,4196983835,11319,2429
373,4196983835,22017,5925
374,4196983835,16861,3398
375,4196983835,8096,1074
376,4196983835,17379,3468
377,4196983835,0,13382
378,4196983835,11570,2551
379,4196983835,23589,5703
380,4196983835,40022,11734
381,4196983835,0,4469
382,4196983835,5597,290
383,4196983835,11028,2682
384,4196983835,20135,4773
385,4196983835,14520,2944
386,4196983835,5324,1066
387,4196983835,17164,3565
388,4196983835,11426,2127
389,4196983835,13919,2827
390,4196983835,56022,19474
391,4196983835,20041,5195
392,4196983835,0,1465
393,4196983835,6955,1465
394,4196983835,0,6223
395,4196983835,16378,4021
396,4196983835,11024,1975
397,4196983835,12891,11738
398,4196983835,16472,4421
399,4196983835,5220,674
400,4196983835,11671,3084
401,4196983835,0,12825
402,4196983835,13733,2745
403,4196983835,14276,3012
404,4196983835,771,30
405,4196983835,17289,4592
406,4196983835,0,11294
407,4196983835,18993,3920
408,4196983835,131820,47708
409,4196983835,14465,2601
410,4196983835,0,7312
411,4196983835,16205,3391
412,4196983835,19952,7312
413,4196983835,31520,16973
414,4196983835,38559,11294
415,4196983835,0,5501
416,4196983835,12487,2671
417,4196983835,0,3790
418,4196983835,9255,1889
419,4196983835,8807,2014
420,4196983835,0,6385
421,4196983835,12975,5001
422,4196983835,277,10
423,4196983835,9634,2301
424,4196983835,10557,2456
425,4196983835,13911,2610
426,4196983835,0,7659
427,4196983835,34724,11399
428,4196983835,13424,3684
429,4196983835,0,643
430,4196983835,0,2948
431,4196983835,3682,643
432,4196983835,21805,7176
433,4196983835,0,1353
434,4196983835,5879,1353
435,4196983835,14184,5549
436,4196983835,14789,3573
437,4196983835,10530,2256
438,4196983835,7949,1371
439,4196983835,2526,458
440,4196983835,25446,7659
441,4196983835,0,41854
442,4196983835,0,21596
443,4196983835,49615,21596
444,4196983835,94832,41854
445,4196983835,0,23853
446,4196983835,24394,8493
447,4196983835,10873,2953
448,4196983835,0,7052
449,4196983835,12045,2850
450,4196983835,0,9287
451,4196983835,12122,2595
452,4196983835,13580,2976
453,4196983835,5320,900
454,4196983835,57121,30993
455,4196983835,11800,3056
456,4196983835,12998,3474
457,4196983835,0,3879
458,4196983835,37875,17284
459,4196983835,6206,1118
460,4196983835,0,9800
461,4196983835,9619,2304
462,4196983835,13275,2989
463,4196983835,9448,1902
464,4196983835,0,5427
465,4196983835,10992,2336
466,4196983835,10824,2515
467,4196983835,33710,9287
468,4196983835,9495,2245
469,4196983835,9844,2473
470,4196983835,0,1198
471,4196983835,0,6091
472,4196983835,5507,1198
473,4196983835,24871,9800
474,4196983835,0,4739
475,4196983835,10858,2599
476,4196983835,9092,1892
477,4196983835,11388,4360
478,4196983835,8413,1494
479,4196983835,12433,3108
480,4196983835,0,6685
481,4196983835,9571,2134
482,4196983835,31737,9996
483,4196983835,0,3699
484,4196983835,10251,2169
485,4196983835,40089,16114
486,4196983835,9220,2031
487,4196983835,20624,8386
488,4196983835,10119,2067
489,4196983835,21924,5028
490,4196983835,10299,2213
491,4196983835,8524,2535
492,4196983835,9282,2696
493,4196983835,4926,507
494,4196983835,13131,3612
495,4196983835,11422,3191
496,4196983835,11609,4172
497,4196983835,10903,3187
498,4196983835,8793,2246
499,4196983835,23134,8424
500,4196983835,8353,2184
501,4196983835,0,7984
502,4196983835,7318,1652
503,4196983835,6735,1412
504,4196983835,8830,2208
505,4196983835,15113,4218
506,4196983835,8039,1632
507,4196983835,8358,1859
508,4196983835,6155,861
509,4196983835,14143,3609
510,4196983835,23108,7361
511,4196983835,5891,1640
512,4196983835,10023,2074
513,4196983835,12108,3032
514,4196983835,39321,13234
515,4196983835,16249,3857
516,4196983835,17114,4469
517,4196983835,0,5641
518,4196983835,7667,1680
519,4196983835,22079,6484
520,4196983835,14581,4018
521,4196983835,11171,3495
522,4196983835,8732,2483
523,4196983835,12484,2974
524,4196983835,46934,23853
525,4196983835,0,6884
526,4196983835,9633,2501
527,4196983835,13907,4055
528,4196983835,16116,4237
529,4196983835,123685,62137
530,4196983835,0,8422
531,4196983835,14409,4379
532,4196983835,83367,40321
533,4196983835,0,6347
534,4196983835,5333,2206
535,4196983835,11286,2730
536,4196983835,0,13434
537,4196983835,7095,1377
538,4196983835,0,6168
539,4196983835,9121,2182
540,4196983835,7283,2105
541,4196983835,0,9271
542,4196983835,6318,1896
543,4196983835,9706,2903
544,4196983835,8606,1945
545,4196983835,15191,4423
546,4196983835,6826,2324
547,4196983835,0,3682
548,4196983835,49429,18670
549,4196983835,11124,3173
550,4196983835,0,8589
551,4196983835,12169,4770
552,4196983835,8544,2142
553,4196983835,0,6137
554,4196983835,11110,2839
555,4196983835,10005,2307
556,4196983835,0,3364
557,4196983835,7896,1690
558,4196983835,9890,2887
559,4196983835,17986,6730
560,4196983835,6983,1558
561,4196983835,10043,3008
562,4196983835,0,310
563,4196983835,8545,1966
564,4196983835,1943,270
565,4196983835,9067,2363
566,4196983835,6733,950
567,4196983835,27197,6884
568,4196983835,0,4573
569,4196983835,8936,2399
570,4196983835,768,112
571,4196983835,0,1869
572,4196983835,11620,3183
573,4196983835,14569,3449
574,4196983835,10464,2458
575,4196983835,0,4988
576,4196983835,12364,3224
577,4196983835,0,4538
578,4196983835,16974,2948
579,4196983835,31526,15159
